Part5,Labor_Cost_USD,Part_Cost_USD,Days_To_Fail_MinZero,Miles_To_Fail,Customer_Complaint,PROBLEM,Target
46402,22.6,16.46,177,8682,C/S: GUEST STATES THAT VEHICLE INTERMITANTLY WILL NOT START. GUEST STATES THAT IT SEEMS TO COORALATE WITH COLD TEMPS; CUSTOMER PRESSES BRAKE AND START BUTTON; GETS CONFIRMATION BEEP AND NO CRANK; BRAKE PEDAL WAS VERY STIFF-DIAGNOSEAND ADVISE,Unconfirmed,0
46402,187.5,0,0,83,THE CUSTOMER STATES THAT THE AUTO IDLE STOP SYSTEM PROBLEMTHE INSTRUMENT PANEL IS BLINKING,Unconfirmed,0
46402,9.49,12.22,44,970,CUSTOMER STATES AFTER THE CAR SITS 24 HRS  WHEN YOU PUSH THE BRAKE TO START THE CAR THE PEDAL IS HARD   SOP,Unconfirmed,0
46402,24,20.61,375,8255,CUSTOMER STATES: THAT THE VEHICLE SOMETIMES SHE HAS TO STEP ON THE BRAKE PEDAL REALLY HARD TO PUSH START THE VEHICLE; CUSTOMER ALSO STATES THAT AT ONE TIME SHE HAD TO CALL ATOW TRUCK BECAUSE SHE WAS NOT ABLE START THE VEHICLE,Unconfirmed,0
46402,49.2,20.61,529,13427,CUSTOMER STATES WHEN VEHICLE IS LEFT OUT OVER NIGHT IN COLD THAT IN MORNING BRAKE PEDAL WILL NOT DEPRESS SO PUSH BUTTON WILL NOT START VEHICLE CHECK AND ADVISE.,Unconfirmed,0
46402,115,0,12,298,OTHER *CUSTOMER STATES; CUSTOMER STATES THE AUTO STOP SYSTEM FUNCTION IS NOT WORKING; VEHICLE WILL NOT SHUT OFF WHENCOMING TO A STOP--WARNING MESSAGE WILL BE DISPLAYED. SC=032-20. VACUUM HOSE NOT CONNECTED TO BRAKE BOOSTER PRESSURE SENSOR.,Unconfirmed,0
46402,132,16.57,79,4047,INSPECT FOR THE BRAKE PEDAL FEELS VERY HARD TO DEPRESS WHEN STARTING UP COLD (AFTER THE CAR SITS FOR 2-3 HOURS). THEBRAKE PEDAL FUNCTIONS PROPERLY WHEN STARTING UP HOT.,Unconfirmed,0
46402,43.2,17.53,431,28030,CUSTOMER STATES FIRST COLD DAY TRIED TO START CAR AND IT CLICKED -- TRIED AGAIN AND ALL LIGHTS AND EVERYTHING SHUT DOWN -- PEDAL WAS SLIGHTLY STIFF -- NEEDED CODES --- 2ND TIMETHE LIGHTS CAME ON BUT PUSHING BUTTON DID NOT CHANGE ANYTHING -- CAR SAT F,Unconfirmed,0
46402,28.8,12.22,428,10100,CUSTOMER STATES VEHICLE WOULD NOT START -- STATES BRAKE PEDAL WOULD NOT PUSH DOWN -- TOW TRUCK DRIVER WAS ABLE TO GET VEHICLE STARTED BY PUMPING BRAKE -- WHEN ADVISOR STARTEDCAR VSA WARNING LIGHT CAME ON FOR ABOUT 30 SECONDS AND THEN WENT AWAY,Unconfirmed,0
46402,9.8,16.57,366,7500,MODEL ENGINEER SUGGESTED BRAKE BOOSTER CHECK VALVE REPLACED FOR ONGOING ISSUE WITH HARD BRK PEDAL / NO START,Unconfirmed,0
46402,98.11,0,2,203,VERIFIER LUMIERE ALLUME CAPTEUR SERVOFREIN ALLUME,Unconfirmed,0
46402,85.12,0,0,45,"EFFECTUER DIAGNOSTIQUE: MOTEUR NE SE COUPE PAS AU FEU ROUGE, ET MESSAGE D'ERREUR VERIFIER SYSTEME D'ARRET MOTEUR RALENTI ALLUME EN FRAPPANT NID DE POULE.",Unconfirmed,0
46402,101.5,17.53,166,10354,"TECH LINE 3647322 CUSTOMER STATES THAT INTERMITENTLY (WHENCOLD), CAR WILL NOT CRANK. BRAKE PEDAL FEELS STIFF. LOCKS AND UNLOCKS, THENIT WILL START AND PEDAL IS SOFT AS NORMA L.",Unconfirmed,0
46402,100.8,0,1,280,CUSTOMER STATES AUTO ENGINE IDOL STOP SYSTEM PROBLEM CHECKAND REPORT,Unconfirmed,0
46402,34.8,20.73,333,7337,REPLACED CHECK VALVE BETWEEN INTAKE AND BRAKE BOOSTER,Unconfirmed,0
46402,149.78,0,0,4,AUTO STOP LIGHT FLASHING COMPLAINT: AUTO STOP LIGHT FLASHING,Unconfirmed,0
46402,174,81.37,279,6467,BRAKE PEDAL IS HARD AND CAUSES VEHICLE NOT TO START PER TECH LINE REF 3639411 REPLACED BRAKE BOOSTER AND VACUUM HOSE,Unconfirmed,0
46402,57.5,12.22,47,865,CUSTOMER STATES THE BRAKE PEDAL IS VERY STIFF WHEN FIRST STARTED. NOTES THAT OTHER VEHICLES IN THE FAMILY HAVE A SOFT PEDAL ALL THE TIME. CHECK AND ADVISE.,Unconfirmed,0
46402,51.79,17.85,215,5844,CHECK BRAKE PEDAL IS STIFF UPON START UP OF CAR,Unconfirmed,0
46402,139,0,224,4938,CUSTOMER STATES BRAKE FLUID LOW WARNING HAS COME ON MULTIPLE TIMES. PLEASE CHECK AND ADVISE,Unconfirmed,0
46402,161.2,0,34,1327,CUST STATES THERES A GRINDING NOISE WHEN SHIFTING FROM REVER SE TO DRIVE CHECK & ADVISE,Unconfirmed,0
46402,22.8,17.53,58,2493,C/S VEHICLE WOULD NOT START ALL LIGHTS ON DASH LIT VERIFIED AND SPOKE W/TECH LINE REPLACED BRAKE CHECK VALVE,Unconfirmed,0
46402,45.2,0,565,25510,GUEST REPORTS BRAKE PEDAL FEELS VERY SOFT COMPARED TO WHENVEHICLE WAS NEWER. ADVISE.,Unconfirmed,0
46402,80,0,107,2502,"FLUID LEAK AT BRAKE MASTER CYLINDER FOUND COMING FROM HOSE, TIGHTENED BLED BRAKES TOPPED OFF",Unconfirmed,0
46402,12,16.13,308,5878,CLIENT STATES AFTER THE VEHICLE SITS FOR ABOUT 4 TO 5 DAYSAND WHEN IT IS COLDER OUTSIDE THE BRAKE PEDAL WILL GET HARD TO THE POINT WHERE IT WILL NOT PUSH IN. CLIENT SPOKE WITH BOB W. AND FOUND OUT IN THE GARAGE WHEN PRESSING THE BRAKE PEDAL DURNING T,Unconfirmed,0
46402,75.2,3.59,67,4046,CUSTOMER STATES FCW SYSTEM FAILED ON DISPLAY AND ALSO BRAKE LIGHT KEEPS COMING ON,Unconfirmed,0
46402,43.2,20.07,4,244,BRAKE PEDAL 1ST THING IN MORNING HARD AS ROCK,Unconfirmed,0
46402,47.5,3.59,401,19820,C/S BRAKE & VSA LIGHTS COMES ON AT TIMES. INSPECTED  UNDERCARRIAGE & FND SMALL AMNTS OF BRAKE FLUID LEKNG FRM HARD BRAKE LINE. NO  DAMAGE NOTED ON MSTR CYLDR PARTS. TORQ`D NUT CONNCTNG HRDLNETO SPEC & FILL`D BRK FLUID. TEST DRV. NO CODES NOW.,Unconfirmed,0
46402,23,13.07,204,4479,CUSTOMER STATES THAT THE VEHICLE IS MAKING A SQUEEKING SOUND WHILE VEHICLE IS IDLING . PLEASE VERIFY AND REPORT,Unconfirmed,0
46402,11.2,16.13,307,18217,CUST REPORTS TAHT THE BRAKE PEDAL IS VEY HARD TO PUSH DOWNWHEN FIRST STARTING THE VEHICLE REPLACED THE BRAKE BOOSTE RCHECK VAVLE /HOSE ASS FOR VACUMM BLEEDING OFF WHEN SITTING,Unconfirmed,0
46402,100.4,0,14,585,BRAKE FLUID LEAKING,Unconfirmed,0
46402,18.24,12.07,386,9353,"A LA DEMANDE DU SERVICE D'INGENIERIE, PIECE REMPLACER POUR EVALUATION ET EXPERTISE AFIN DE REPRODUIRELA CONDITION DECRITE PAR LA CLIENTE (ENS. TUYAU SERVO FREINS) 46402-TR0-A01",Unconfirmed,0
46402,50,0,392,15332,BRAKE LIGHT COMES ON AND GOES OFF FOUND BRAKE LINE ON TOPOF MODULATOR LEAKING AT CONNECTION POINT TIGHTENED,Unconfirmed,0
46402,19,20.07,22,175,"CUST STATES THAT AT TIMES HAS HARD TIME PRESSING BRAKE PEDAL WHEN TRYING TO START CAR, ADVISE. AND WILL NOT START",Unconfirmed,0
46402,48.8,20.07,20,556,CUSTOMER REPORTS NO CRANK CONDITION AT TIMES FOUND BRAKE BOOSTER TUBE REPLACED POWER MASTER TUBE,Unconfirmed,0
46402,125,0,287,9904,ADD ON---C/S BRAKE FLUID LEAKING FROM MASTER CYLINDER,Unconfirmed,0
46402,84,13.07,4,353,BRAKE NOISE SINCE NEW ---INSPECT AND REPORT-- THE CUSTOMERAND GRADY STATES FLUTTER NOISE WHEN PEDAL IS PUSHED-- INSPECT AND CORRECT OR REPORT CORRECTION--,Unconfirmed,0
46402,120,23.66,49,2600,CUST STATES CHECK ENG LIGHT IS ON/STAYING ON. FOUND BRAKE BOOSTER TAKING IN AIR. FOUND SMALL LEAK IN BRAKE LINE VACUUM HOSE. REPLACED BRAKE BOOSTER & BRAKE LINE.,Unconfirmed,0
46402,12.6,16.13,38,2832,CUSTOMER STATES THE VEHICLE WOULD NOT START AT WORK TODAY.THE BRAKE PEDAL WAS VERY STIFF OR LOCKED UP AND YOU COULDNOT PRESS IT DOWN. THE VEHICLE WOULD POWER UP BUT WOULD NOTSTART. AFTER SITTING FOR 10-15MIN THE BRAKE PEDAL SEEMEDTOGET SOFT AGAIN AN,Unconfirmed,0
46402,19.6,20.07,176,5486,C/S CAR IS HARD TO START IN AM & AFTER SITTING & BRAKE PEDAL IS HARD. FOUND BRAKE BOOSTER BLEEDING OFF. REPLACED BOOSTER & HOSE,Unconfirmed,0
46402,200,0,223,11888,CUSTOMER STATES RATTLING NOISE FROM THE STEERING COLUMN AREA,Unconfirmed,0
46402,21.8,20.07,252,15367,CUST STATES HE HAS TO PRESS THE BRAKE PEDAL ALL THE WAY DOWN TO THE FLOOR TO STOP CAR. ADVISE,Unconfirmed,0
46402,18.6,20.07,162,12561,C/S: CUSTOMER STATES HE FEELS LIKE BRAKE PEDAL SEEMS TO TRAV EL TO FAR TO FLOOR BEFORE SLOWING DOWN,Unconfirmed,0
46402,14.2,22.47,101,2306,PARTS ON ORDER- BRAKE BOOSTER CHECK VALVE- ISSUE WITH NOTBEING ABLE TO PRESS BRAKE PEDAL TO START CAR -,Unconfirmed,0
46402,113,20.07,126,1757,"C/S VEHILCE DOESNT START AT TIMES, WHEN THIS HAPPENS BRAKEPEDAL FEELS HARDER. CK PEDAL. FOUND HARD AFTER CAR SITS FOR 3 HOURS. CALLED TECHLINE. FOUND 30 MIN IS SPECK. TECHLINE REQUEST REPLACE VACUUM BOOSTER HOSE AND VALVE. RETEST.OKAY AT THIS TIME",Unconfirmed,0
46402,25.95,0,8,672,BRUIT A L ARRET  TAC TAC,Unconfirmed,0
46402,102,20.5,24,900,CUSTOMER STATES BRAKES LOSE VACUUM CUSTOMER STATES THE BRAKE PEDAL LOOSES FIRMNESS. BRAKE BOOSTER/PLUMBING? PLEASE CHECK AND ADVISE,Unconfirmed,0
46402,18.4,13.07,214,6684,CUSTOMER STATES.........NOISE BESIDE CD PLAYER (SOP) 4131E2 01701 04201,Unconfirmed,0
46402,99,0,135,3900,E BRAKE AND VSA INDICATOR LIT ON DASH,Unconfirmed,0
46402,68.54,0,254,10739,BRAKE FLUID APPEARS TO BE LEAKING,Unconfirmed,0
46401,119,104.57,20,241,VEHICLE IDLE AUTO STOP WARNING KEEPS DISPLAYING ON THE DASH,Unconfirmed,0
46401,175,100.65,199,5855,CLIENT STATES THE AUTO IDLE STOP DOES NOT WORK AGAIN.,Unconfirmed,0
46401,24,99.56,9,373,CLIENT STATES ENGINE IDLE STOP LINE CAME ON FEBRUARY 10TH,Unconfirmed,0
46401,22.89,81.59,195,6693,"CUSTOMER STATES BRAKE LIGHT CAME ON WHILE DRIVING, INSTALLSOP.",Unconfirmed,0
46400,141.9,134.91,823,32592,CUST STATE WHEN BRAKING IT FEEL LIKE ITS CATCHING A LITTLETHE RELEASES,Unconfirmed,0
46134,84,83.59,708,3710,"IMPROPER OPERATION OF BRAKE BO OSTER, NOT WORKING PROPERLYDE",Unconfirmed,0
46101,184,482.7,1548,81411,"TOW IN, CUSTOMER STATES HAD BASICALLY NO BRAKES, PEDAL VERY HARD, HAS SEVERAL WARNINGS (TCS & ABS, MAYBE OTHERS)--DTC 81-1 & 66-1 MODULATOR CONROL UNIT INTERNAL MALFUNCTION &PRESSURE SENSOR MALFUNCTION",Confirmed,1
46101,156,482.7,1172,37588,REPLACED MASTER CYLINDER,Unconfirmed,0
46101,234,245.7,614,12267,CUSTOMER STATES THERE ARE SOME LIGHTS THAT KEEP FLASHING.NOT SURE WHICH ONES.,Unconfirmed,0
46101,81,237.85,689,27690,"CLIENT SLAMMED ON BRAKES, MULTIPLE LIGHT ON DAIG REVEALEDLEAK ON BACK SIDE OF MASTER CYLINDER",Unconfirmed,0
46101,218.5,193.68,557,16589,CUSTOMER STATES LCD AND FCW; AND CAR MALFUNCTION INDICATORIS ON CHECK AND ADVISE,Unconfirmed,0
46101,198,245.7,491,9889,CUSTOMER REPORTS ALL THE LIGHTS CAME ON ON THE DASH. PULLED CODE FOR LOW BRAKE FLUID. INSPECTED BRAKE MASTER CYL ANDFOUND LEAKING INTO BRAKE BOOSTER,Unconfirmed,0
46101,107.64,205.98,1225,36838,CUSTOMER STATES THAT AFTER DRIVING FOR A BIT MULTU PLE MALFUNCTION INDICATORS COME ON FOR LDW AND LKA S  CHECK AND ADVISE,Unconfirmed,0
46101,189,293.16,333,35572,"CUSTOMER REQUESTS BRAKE INSPECTION. VAN STOPS OK, BUT WHILE SITTING AT A STOP WITH FOOT ON THE BRAKE PEDAL, THE PEDAL WILL FADE TO THE FLOOR. NO BRAKE WARNING LIGHTS ARE ON.PLEASE CHECK AND ADVISE. SC 01201",Unconfirmed,0
46101,208.8,245.36,196,4973,"CUSTOMER STATES ABS LIGHT ON THE ABS, TRAC, LOW TIRE, ANDBRAKE LIGHT WILL COME ON AND STAY ON ABOUT HALF THE TIME THE CAR IS STARTED SHE STATES THEY WILL STAY ON UNTIL THE CAR IS SHUT OFF AND RE STARTED SEE HISTORY",Unconfirmed,0
46101,143,289.28,716,21034,CUSTOMER STATES FCW/LDW/VSA LIGHTS ARE ON.,Unconfirmed,0
46101,130,289.62,70,3163,FCW SYSTEM PROBELM LIGHT IS ON AND BRAKE LIGHT COMES ON.,Unconfirmed,0
46101,260.84,138.07,16,578,CUSTOMER IS REPORTING MULTIPLE LIGHTS ARE ON CAR. AND BRAKE FLUID IS LEAKING ONTO THE GROUND AND BRAKE FLUID LEVEL IS LOW.,Unconfirmed,0
46101,187,145.77,98,4093,CUSTOMER STATES MULTIPLE LIGHTS CAME ON THE DASH,Unconfirmed,0
46101,101.66,237.85,342,7467,CUSTOMER STATES: WHEN YOU PRESS THE BRAKE PEDAL; YOU CAN HEAR A SQUEAKING NOISE. NOISE IS COMING FROM THE BRAKE PEDAL. CHECK AND ADVISE.,Unconfirmed,0
46101,88,286.08,656,22941,FCW LIGHT FLASHING AND BRAKE LIGHT ON,Unconfirmed,0
46101,408,245.7,688,13168,CLIENT STATES RED BRAKE LIGHT; STEERING WHEEL; AND TRACTION CONTROL LIGHTS ARE ILLUMINATED PLEASE CHECK AND ADVISE.,Unconfirmed,0
46101,89.1,236.26,125,5053,CHECK ENGINE LIGHT: CUSTOMER STATES CHECK ENGINE LIGHT  ISON. TECH NOTED MASTER CYLINDER LEAKING FLUID. REPLACED BR AKE MASTER CYLINDER.,Unconfirmed,0
46101,148.2,472.14,1295,77902,CLIENT STATES THE VEHICLE WILL NOT REMAIN AT A STOP WHEN APPLYING THE BRAKES AT A RED LIGHT ETC. THEY SAY THE PEDALCREEPS TO THE FLOOR WHEN EVER THEY APPLY THEM AT IDLE,Unconfirmed,0
46101,194.4,243.34,0,72,BRAKE LIGHT OUT FOUND MASTER CYLINDER LEAKING . LEAKED ONTO BRAKE BOOSTER RPL MASTER CYLINDER AND BRAKE BOOSTER,Unconfirmed,0
46101,194.31,242.57,617,26590,"CUSTOMER STATES POWER STEERING, TRACTION AND TPMS LIGHTS CAME ON. TECH FOUND BRAKE MASTER CYLINDER LEAKING INSIDE VACUUM BOOSTER. TECH REPLACED BRAKE MASTER CYLINDER AND VACUUM BOOSTER.",Unconfirmed,0
46101,297,242.2,1025,27480,CUSTOMER STATES THAT THE BRAKE PEDAL MAKING NOISE,Unconfirmed,0
46101,283.5,242.57,33,751,C/S 4 WARNING LIGHTS ARE ON; BRAKE; TIRE PRESSURE; STEERING WHEEL AND VSA. PLEASE CHECK AND REPROT.,Unconfirmed,0
46101,225,243.34,285,24011,REPLACE BRAKE MASTER CYLINDER. BRAKE MASTER CYLINDER LEAKING CONTAMINATING BOOSTER WITH FLUID. REPLACE MASTER CYLINDER AND BOOSTER,Unconfirmed,0
46101,255.4,117.28,721,37456,CHK SQUEELING NOISE FROM BRAKE PEDAL WHEN PRESSED,Unconfirmed,0
46101,116,112.76,76,2448,"CUST STATES, SITTING AT A STOP SIGN, FOOT ON BRAKE, VEHICLE WILL MOVE FORWARD UNLESS GREATER PRESSURE IS APPLIED TOBRAKE. BRAKE BOOSTER ISSUE? PLEASE CHECK AND ADVISE.",Unconfirmed,0
46101,205.2,242.57,273,7364,"C/S: BRAKE LIGHT STAYING ON HAD TO ADD FLUID LAST TIME HERE,,, AT ANOTHER DEALER JUST WEEKS AGO AND NOW ITS LOW AGAIN. BUT ITS DRY,,, PLEASE CHECK ALL FITTINGS WHERE IS FLUIDGOING??? SUB DAMAGE",Unconfirmed,0
46101,160.2,242.57,277,9916,LIGHTS CAME ON DASH,Unconfirmed,0
46101,180,242.2,633,8448,"VEHICLE IS LOSING BRAKE FLUID. EPS LIGHT IS ON, BRAKE LIGHT IS ON, TRAC LIGHT IS ON. CHECK AND ADVISE",Unconfirmed,0
46101,198,259.45,820,16955,"CUSTOMER STATES BRAKE LIGHT ON, VSA LIGHT, TRACTION LIGHT ON AND TIRE PRESSURE. MASTER CYL LEAKING FLUID INTO BRAKE BOOSTER.REPLACED MASTER CYL AND BRAKE BOOSTER",Unconfirmed,0
46101,220.5,243.34,0,6,"THE BRAKE PEDAL GOES TO THE FLOOR AND THE DASH LIGHTS ARE ON SAYING LOW BRAKE FLUID. FOUND NO FLUID IN SYSTEM, FOUNDBRAKE MASTER LEAKING INTERNALLY, REPLACED MASTER AND BOOS TER TO REPAIR",Unconfirmed,0
46101,182.67,115.89,792,16150,INSPECT BRAKES - MASTER CYLINDER IS LEAKING BRAKE FLUID,Unconfirmed,0
46101,230.98,478.04,1158,46380,EMERGENCY BREAK LIGHT & TRACTION CONTROL LIGHT KEEPS COMING ON RANDOMLY. REPLACED BRAKE MASTER CYLINDER & BOOSTER,Unconfirmed,0
46101,211.5,236.26,0,16,DASH WARNING LIGHTS ARE ON - CHECK AND ADVISE,Unconfirmed,0
46101,220.5,269.24,149,5524,C/S LCW WARNING SYSTEM FAILURE WARNING LIGHT BLINKING REPLACE MASHER CYL AND POWER SET LIGHT NO LONAGER BLINKING ANDSYSTEM WORKING PROPERLY,Unconfirmed,0
46101,283.24,227.39,74,2608,"CUSTOMER STATES THE LIGHTS FROM THE DASHBOARD (BRAKE, STEERING, TIRE PRESSURE, ETC) ARE ALL ON AGAIN",Unconfirmed,0
46101,171,233.83,363,8102,"CUST STATES VEHICLE KEEPS LOOSING BRAKE FLUID, FOUND BRAKEMASTER CYLINDER LEAKING INTO BRAKE BOOSTER; REPLACED MAST ER CYLINDER AND BRAKE BOOSTER",Unconfirmed,0
46101,94.4,272.83,712,40266,VSA LIGHT AND BRAKE LIGHT STAYS ON ALL THE TIME FOUND BRAKE MASTER LEAKING REPLACED BRAKE MASTER CYLINDER AND BRAKE BOOSTER,Unconfirmed,0
46101,199.5,237.42,0,10,C/S NO BRAKES AND DASH LIGHTS ON,Unconfirmed,0
46101,158.1,115.95,234,23505,PARKING BRAKE LIGHT BRAKE LIGHT POWER STEERING LIGHT STABLIZATION LIGHT COMES ON ABOUT A MILE INTO DRIVING,Unconfirmed,0
46101,264,230.98,0,5,DURING TEST DRIVE FOUND WARNING LIGHTS ON DASHBOARD,Unconfirmed,0
46101,296.4,245,161,3072,THE ABS; TRACTION CONTROL AND BRAKE LIGHTS ARE ALL ON. CHECK AND ADVISE.,Unconfirmed,0
46101,248.4,227.39,0,7,PORTER MOVED CAR AND FOUND BRAKES TO BE INOP,Unconfirmed,0
46101,190.4,238.16,159,4954,CUSTOMER STATES PARK BRAKE LIGHT IS ON.,Unconfirmed,0
46101,212.5,227.39,274,6488,RED BRAKE LIGHT AND VSA AND OTHER DASH LIGHTS ARE ON;,Unconfirmed,0
46101,84,112.11,748,21496,"VEHICLE TOWED TO SHOP, BRAKE PEDAL GOES TO THE FLOOR, FOUND BRAKE MASTER CYLINDER BAD, REPLACE",Unconfirmed,0
46101,136.5,280.01,647,24321,CUSTOMER STATES BRAKE LIGHT ON SKID CONTROL AND RED BRAKELITE ON -DRIVES AND STOPS NORMAL,Unconfirmed,0
46101,180,265.75,466,28227,BRAKE S ARE MAKING A WHISTLE SOUND,Unconfirmed,0
46101,125,235.98,692,17593,C/S: CUSTOMER STATES THAT THE BRAKE WARNING LAMP IS ON,Unconfirmed,0
46101,268.8,233.83,31,3072,CUSTOMER STATES THAT THE TCS LIGHT HAS COME ON AND THE LOWTIRE LIGHT AND THE BRAKE FLUID IS LOW SINCE THE LAST REPAIR,Unconfirmed,0
46101,310.5,241.75,77,2639,C/S: CUSTOMER STATES SEVERAL LIGHTS ON CHECK BRAKE FLUID CHECK SYSTEMS ETC. BRAKE FLUID HAS BEEN CHANGE AT PHILIPSBURG NJ,Unconfirmed,0
46101,199.48,233.83,37,25958,AFTER DRIVE VEHICLE FOR MORE THEM 30 MIN C/S ALL THE LIGHTS ON DASH WAS ON CK AND ADVISE,Unconfirmed,0
46101,143,280.01,748,27409,CUSTOMER STATES THAT THE BRAKE LIGHT IS ON,Unconfirmed,0
46101,356.5,227.39,75,2635,CUST STATES ALL DASH LIGHT LITE UP; AND BRAKES DON`T WORK;PEDAL GOES ALL THE WAY TO THE FLOOR AND BRAKE LIGHT IS ON.REPLACED BRAKE MASTER CYLINDER AND VACUUM BOOSTER.,Unconfirmed,0
46101,234.17,89.82,598,22393,PARKING BRAKE LIGHT COMING ON OVER BUMPS INTERMITTENTLY. SCRUBBING NOISE FROM PASSENGER REAR,Unconfirmed,0
46101,218.5,279.73,624,20049,C-STATES ABS LIGHT ON AND SMELLS SOMETHING BURNING,Unconfirmed,0
46101,256.5,255.78,720,19041,REPLACE MASTER CYLINDER & POWER SET PER TECH LINE CUSTOMERADVISED,Unconfirmed,0
46101,102.6,260.73,728,29802,CUSTOMER REQUESTS TO REPLACE MASTER CYLINDER AND BRAKE BOOSTER DUE TO FAILURE,Unconfirmed,0
46101,285.6,266.32,116,6308,CUST. STATES:BRAKE LIGHT FLASHES WHILE DRIVING,Unconfirmed,0
46101,235.83,259.14,44,2952,"BRAKE SYSTEM, CUSTOMER STATES THAT WHILE IDLE AND FOOT ISON BRAKE SHE NOTICES THE PEDAL WILL GO ALL THE WAY TO THE FLOOR AND WILL NOT STOP, CHECK AND ADVISE.  LEAKING MASTER CYLINDER, CAUSING CONTAMINATION TO BRAKE BOOSTER",Unconfirmed,0
46101,146.37,98.3,243,5469,VSA & BRAKE LIGHT ON WHILE DRIVING,Unconfirmed,0
46101,228.8,266.32,495,6303,CUSTOMER STATES THE BRAKE LIGHT CAME ON WHEN MAKING LEFT OF RIGHT TURNS AND MADE A BEEPING SOUND. YESTEDAY TCS LIGHTCAM E ON. HE TURNED OFF VEHICLE AND RESTARTED. LIGHT WENTOFF.,Unconfirmed,0
46101,334.52,101.51,177,4667,PARKING BRAKE LIGHT STAYS ON,Unconfirmed,0
46101,210.6,256.71,223,10277,"E -BRAKE ;POWER STEERING EXCLAMATION LIGHT; LOW TIRES ; AND OTHER LIGHT ADVISE BRAKE FLUID SWITCH MALF,MODULATOR CONTROL LOWVOLTAGE LOW BRAKE FLUID FROM LEAKING MASTER CYL SEAL BROKE AND DAMAGED BOOSTER REMOVED  REPLACED MASTER CYL & BOOSTER",Unconfirmed,0
46101,226.8,266.32,408,16644,CUSTOMER STATES EBRAKE LIGHT STAYS ON WHEN E-BRAKE IS OFF.CHECK AND ADVISE,Unconfirmed,0
46101,189,266.32,382,22876,VSA LIGHT ON,Unconfirmed,0
46101,123.5,252.33,41,2689,"CUST STATES HAS NUMEROUS LIGHTS THAT CAME ON ON DASH WHILEDRIVING, BRAKES LIGHT, VSA LIGHT LDW LIGHT ETC/REPLACED BRAKE MASTER CYLINDER AND BRAKE BOOSTER.",Unconfirmed,0
46101,288.4,249.05,45,1559,CUSTOMER STATES ABS VSA BRAKE ANT TIRE WARNING LIGHTS CAMEON,Unconfirmed,0
46101,143,264.47,173,4383,"THE CAR IS LEAKING BRAKE FLUID. WHICH CONTAMINATED THE VSAMODULE, REPLACED MASTER CYLINDER AND VSA MODULE",Unconfirmed,0
46101,176.4,246.65,146,3123,CUSTOMER STATES THAT THE TCS LIGHT IS ON AND THE BRAKE LIGHT IS ON SOP PARTS,Unconfirmed,0
46101,183.6,256.23,231,5846,"CUSTOMER STATES VSA AND POWERSTEERING LIGHTS ARE BACK ON IN THE CAR. SHE CAME IN FOR THIS ISSUE ON MARCH 6, 2014.",Unconfirmed,0
46101,171,259.51,7,426,"CUSTOMER STATES HAS DASH LIGHTS ON FORARD COLLISION, LANEDEPARTURE AND LOW BRAKE FLUID VSA SYSTEM. ADVISE",Unconfirmed,0
46101,191.9,259.51,32,2892,C/STATES SNA LIGHT COMES ON AND BRAKE PEDAL FADES TO FLLORWHEN STOPPING,Unconfirmed,0
46101,169.2,252.33,30,1752,CUSTOMER STATES LIGHTS ARE ILLUMINATED ON DASH. AND FAILURE IS DISPLAYED ON ODOMETER. CHECK AND ADVISE.,Unconfirmed,0
46101,157.3,259.51,9,462,CUSTOMER STATES FCW SYSTEM FAILED MESSAGE IS COMING ON INDASH,Unconfirmed,0
46101,221.4,270.59,0,11,"PER PREVIOUS RO, HONDA CANADIAN MANUFACTURING REQUESTS WEREPLACE BRAKE BOOSTER AND MASTER CYLINDER. FLUID IS LEAKINGINTERNALLY INTO BOOSTER, PEDAL GOES TO THE FLOOR. PER REQUEST, KEEP BOOSTER AND MASTER CYLINDER TOGETHER WHEN REMOVING.",Unconfirmed,0
46101,201.6,246.65,118,14496,BRAKE CONCERN: CUSTOMER STATES THAT WHEN FOOT IS RELEASEDFROM THE BRAKES; THE PEDAL STAYS TO THE FLOOR,Unconfirmed,0
46101,130,259.51,51,3456,CUSTOMER STATES TRACTION CONTROL INDICATOR IS ON IN DASH AND VEHICLES BRAKE INDICATOR COMES ON IN DASH WHEN DRIVINGPLEASE CHECK AND ADVISE,Unconfirmed,0
46101,233.73,259.51,10,387,RED BRAKE LIGHT FLASHES AND TRAC LIGHT STAYS ON,Unconfirmed,0
46101,207.9,259.51,105,4082,THE CUSTOMER STATES THAT THERE IS A LEAKING COMING FROM THE VEHICLE.FOUND THE BRAKE MASTER CLYINDER LEAKING AND BRAKE FLUID GOT INTO THE POWER BOOSTER.,Unconfirmed,0
46101,197.4,259.82,8,263,"BRAKE LITE,TRACTION CONTROL,POWER STRG LITE ALL STAY ON",Unconfirmed,0
46101,291.2,249.68,0,3,NO BRAKES LOW PEDAL.  TECH LINE REF #3446908,Unconfirmed,0
46101,302.4,240.5,112,3348,CLIENT STATES WHEN BRAKING BRAKE PEDAL FEELS REAL SOFT. CHECK AND ADVISE,Unconfirmed,0
46101,263.2,249.68,181,4800,CUSTOMER STATES THAT WHILE DRIVING THE BRAKE LIGHT;TRACTION LIGHT CAME ON AT SAME TIME. CUSTOMER HAD ANOTHER DEALERIN YOUNGSTOWN. LIGHTS CAME BACK ON ABOUT HALFWAY HOME. NOLIGHTS ON THIS MORNING. PLEASE CHECK AND ADVISE,Unconfirmed,0
