Neighborhood,Exterior1st,YearBuilt,LotFrontage,GrLivArea,GarageArea,BedroomAbvGr,FullBath,OverallQual,HeatingQC,SalePrice
Edwards,Wd Sdng,1910,58.0,1184,0,5,1,5,TA,81000
Edwards,MetalSd,1976,72.0,1125,352,3,1,6,Ex,125000
CollgCr,VinylSd,1999,93.0,1479,577,3,2,7,Ex,191000
NridgHt,VinylSd,2007,96.0,2332,846,3,2,10,Ex,426000
Edwards,MetalSd,1900,50.0,1367,384,4,1,5,Ex,119000
Mitchel,VinylSd,2001,71.0,1961,560,3,2,6,Ex,215000
NAmes,MetalSd,1959,,882,294,3,1,5,TA,106500
BrkSide,WdShing,1941,,788,0,2,1,4,TA,100000
OldTown,MetalSd,1940,60.0,1034,240,2,1,5,Gd,109000
Edwards,Wd Sdng,1956,68.0,1144,596,3,1,5,TA,129000
CollgCr,MetalSd,1972,60.0,894,600,2,1,5,TA,123000
NAmes,VinylSd,1962,69.0,1812,264,4,2,5,TA,169500
IDOTRR,MetalSd,1920,60.0,1077,338,2,1,5,Gd,67000
Somerst,CemntBd,2006,65.0,1550,438,2,2,7,Ex,241000
Veenker,BrkFace,1996,38.0,1288,500,1,1,8,Ex,245500
CollgCr,VinylSd,2005,65.0,1310,400,3,2,7,Ex,164990
Sawyer,Wd Sdng,1940,60.0,672,240,2,1,5,Ex,108000
NoRidge,VinylSd,1998,93.0,2263,420,4,2,8,Gd,258000
Gilbert,MetalSd,1995,,1572,373,3,2,6,Gd,168000
Sawyer,Plywood,1976,,1620,490,3,2,4,Ex,150000
SWISU,MetalSd,1936,51.0,1639,240,3,1,6,Ex,115000
Crawfor,Wd Sdng,1915,63.0,1680,308,4,2,6,Ex,177000
NridgHt,VinylSd,2006,109.0,2172,947,3,2,7,Ex,280000
Somerst,VinylSd,2007,85.0,2078,836,3,2,8,Ex,339750
Edwards,BrkComm,1958,68.0,1276,350,3,1,5,TA,60000
Gilbert,Wd Sdng,1955,100.0,1056,572,3,1,5,TA,145000
Somerst,MetalSd,2009,,1478,484,2,2,7,Ex,222000
OldTown,WdShing,1927,56.0,1028,360,2,1,5,Gd,115000
SawyerW,VinylSd,1993,59.0,2097,678,3,2,7,Ex,228000
Gilbert,VinylSd,2007,73.0,1340,396,3,2,7,Ex,181134
Sawyer,HdBoard,1978,74.0,1400,440,3,1,6,TA,149500
Crawfor,Wd Sdng,1918,86.0,2624,864,4,2,6,TA,239000
Edwards,MetalSd,1940,60.0,1134,240,3,1,5,Fa,126000
NAmes,VinylSd,1968,65.0,1056,304,3,1,5,Ex,142000
Mitchel,VinylSd,1997,78.0,1344,784,2,2,7,Ex,206300
NWAmes,CemntBd,1977,,1602,529,3,2,6,Gd,215000
Mitchel,HdBoard,1954,100.0,988,520,2,1,5,Ex,113000
NoRidge,VinylSd,1998,80.0,2630,696,4,2,8,Gd,315000
NAmes,Wd Sdng,1956,72.0,1196,297,2,1,6,Gd,139000
OldTown,HdBoard,1946,60.0,1389,240,3,1,7,Gd,135000
SawyerW,Wd Sdng,1989,,1644,569,2,2,7,Gd,275000
NAmes,MetalSd,1957,77.0,907,352,3,1,4,Ex,109008
CollgCr,VinylSd,2007,64.0,1208,628,2,2,7,Ex,195400
Timber,HdBoard,1988,130.0,1412,576,3,2,6,TA,175000
BrDale,HdBoard,1971,21.0,987,264,2,1,6,TA,85400
OldTown,MetalSd,1920,60.0,1198,0,4,1,6,Gd,79900
BrDale,HdBoard,1971,24.0,1365,440,2,1,5,Ex,122500
Gilbert,VinylSd,1997,100.0,1604,470,3,2,6,Ex,181000
MeadowV,CemntBd,1972,21.0,630,0,1,1,4,Gd,81000
CollgCr,VinylSd,1996,43.0,1661,550,3,2,7,Ex,212000
OldTown,Stucco,1920,40.0,1118,440,2,1,6,TA,116000
BrkSide,Wd Sdng,1926,50.0,904,180,2,1,6,Gd,119000
Crawfor,WdShing,1913,40.0,694,352,2,1,5,TA,90350
Edwards,Wd Sdng,1920,67.0,1196,528,3,1,6,Gd,110000
NridgHt,VinylSd,2008,105.0,2402,672,2,2,10,Ex,555000
Edwards,VinylSd,1955,92.0,1440,0,4,2,4,TA,118000
BrkSide,MetalSd,1930,52.0,1573,360,3,2,5,TA,162900
Blmngtn,WdShing,2006,53.0,1258,648,2,2,7,Ex,172500
CollgCr,VinylSd,1994,70.0,1908,493,4,2,7,Ex,210000
Edwards,Wd Sdng,1956,73.0,1689,480,3,1,6,Fa,127500
NAmes,BrkFace,1966,137.0,1888,578,2,2,6,Ex,190000
Gilbert,VinylSd,1998,,1886,431,4,2,7,Gd,199900
IDOTRR,MetalSd,1937,50.0,1376,198,3,2,6,TA,119500
OldTown,MetalSd,1948,50.0,1183,308,2,1,3,Ex,120000
OldTown,Wd Sdng,1930,70.0,813,270,2,1,6,Ex,110000
ClearCr,Plywood,1975,62.0,1533,576,2,2,7,TA,280000
Timber,VinylSd,1996,,1756,422,3,2,6,Ex,204000
Somerst,VinylSd,2008,75.0,1590,676,3,2,8,Ex,210000
Mitchel,Plywood,1976,63.0,1728,560,4,2,5,TA,188000
NWAmes,HdBoard,1973,80.0,1242,528,3,1,7,Fa,175500
OldTown,AsbShng,1916,34.0,1344,513,4,1,5,Fa,98000
ClearCr,Plywood,1954,,1663,529,2,1,4,Ex,256000
OldTown,Stucco,1925,,1666,228,3,1,8,Fa,161000
BrkSide,MetalSd,1950,,1203,352,3,1,5,TA,110000
Somerst,VinylSd,2009,75.0,1935,552,3,2,8,Ex,263435
SWISU,Wd Sdng,1936,60.0,1135,576,3,1,7,Ex,155000
Sawyer,MetalSd,1965,60.0,864,360,3,1,5,Gd,62383
Crawfor,Stucco,1934,74.0,1660,240,3,1,6,Fa,188700
CollgCr,HdBoard,1978,60.0,1040,0,3,2,5,TA,124000
Blmngtn,VinylSd,2004,,1414,398,2,2,7,Ex,178740
NAmes,Plywood,1970,85.0,1277,526,2,1,7,TA,167000
NAmes,MetalSd,1942,79.0,1644,312,3,1,5,Ex,146500
NridgHt,VinylSd,2006,98.0,1634,866,3,2,8,Ex,250000
SawyerW,HdBoard,1993,76.0,1710,506,3,2,6,Ex,187000
StoneBr,HdBoard,1985,,1502,528,1,1,8,TA,212000
NWAmes,WdShing,1977,92.0,1969,534,3,2,7,TA,190000
Edwards,VinylSd,2005,35.0,1072,525,2,1,6,Ex,148000
NridgHt,VinylSd,2006,110.0,1976,908,2,2,8,Ex,440000
StoneBr,CemntBd,2000,41.0,1652,499,2,2,8,Ex,251000
Sawyer,HdBoard,1963,80.0,970,624,2,1,5,TA,132500
CollgCr,VinylSd,1997,75.0,1493,508,3,2,6,Ex,208900
NridgHt,VinylSd,2006,105.0,2643,694,3,2,9,Ex,380000
CollgCr,VinylSd,2007,79.0,1718,826,3,2,8,Ex,297000
OldTown,Stucco,1937,50.0,1131,672,2,1,4,TA,89471
NridgHt,VinylSd,2004,98.0,1850,772,3,2,9,Ex,326000
NridgHt,VinylSd,2003,72.0,1792,874,2,2,9,Ex,374000
OldTown,Stucco,1915,50.0,1826,164,4,1,7,Ex,155000
Mitchel,VinylSd,1998,32.0,1216,402,2,2,6,Ex,164000
Sawyer,HdBoard,1962,,999,264,3,1,5,Gd,132500
NAmes,MetalSd,1950,80.0,1113,264,3,1,5,Gd,147000
NAmes,MetalSd,1965,79.0,1073,515,3,1,5,TA,156000
NWAmes,Plywood,1971,70.0,1484,487,3,2,5,Gd,175000
OldTown,Wd Sdng,1900,60.0,2414,520,3,2,5,TA,160000
MeadowV,CemntBd,1970,21.0,630,286,1,1,4,TA,86000
MeadowV,CemntBd,1976,,1304,336,3,1,5,TA,115000
NAmes,Wd Sdng,1941,79.0,1578,240,3,1,6,TA,133000
Gilbert,VinylSd,2006,105.0,1456,429,3,2,6,Gd,172785
NAmes,BrkFace,1960,70.0,1269,308,3,1,5,TA,155000
OldTown,MetalSd,1938,50.0,886,273,2,1,5,Gd,91300
IDOTRR,Wd Sdng,1920,60.0,720,0,2,1,4,TA,34900
NoRidge,BrkFace,1992,,3228,546,4,3,8,Ex,430000
BrkSide,Wd Sdng,1925,60.0,1820,240,4,2,7,Ex,184000
Sawyer,HdBoard,1967,65.0,899,288,3,1,5,Ex,130000
NAmes,MetalSd,1958,70.0,912,297,2,1,5,Fa,120000
BrDale,HdBoard,1973,21.0,1218,264,3,1,6,TA,113000
Somerst,VinylSd,2005,75.0,1768,603,3,2,7,Gd,226700
Edwards,MetalSd,1965,70.0,1214,461,2,1,5,Ex,140000
Crawfor,BrkFace,1959,100.0,1801,484,1,2,7,TA,289000
NPkVill,Plywood,1974,24.0,1322,440,3,2,6,TA,147000
OldTown,Wd Sdng,1952,60.0,1960,400,4,2,5,Gd,124500
SawyerW,VinylSd,1993,80.0,1911,471,3,2,8,Ex,215000
Somerst,VinylSd,2009,75.0,1218,676,2,2,6,Ex,208300
OldTown,MetalSd,1928,60.0,1378,360,3,2,7,Ex,161000
NAmes,MetalSd,1959,80.0,1041,270,3,1,5,Ex,124500
NAmes,Wd Sdng,1951,75.0,1363,288,2,1,5,Ex,164900
NridgHt,VinylSd,2005,40.0,1368,474,2,2,7,Ex,202665
NAmes,VinylSd,1958,70.0,864,624,3,1,5,TA,129900
Mitchel,VinylSd,1983,71.0,1080,484,3,1,6,TA,134000
Crawfor,Wd Sdng,1926,55.0,789,200,2,1,5,Fa,96500
NridgHt,CemntBd,2009,94.0,2020,900,3,2,10,Ex,402861
NWAmes,HdBoard,1972,,2119,583,3,2,6,TA,158000
NoRidge,VinylSd,1996,79.0,2344,889,3,2,7,Ex,265000
CollgCr,VinylSd,1998,,1796,546,3,2,6,Ex,211000
Crawfor,MetalSd,1926,53.0,2080,282,3,1,7,Ex,234000
OldTown,MetalSd,1900,60.0,1294,0,3,2,4,TA,106250
NAmes,VinylSd,1957,90.0,1244,336,3,1,6,Ex,150000
BrkSide,CemntBd,1947,50.0,1664,420,3,2,6,Ex,159000
Edwards,CemntBd,2007,130.0,4676,884,3,3,10,Ex,184750
NoRidge,VinylSd,1996,95.0,2398,834,3,2,7,Ex,315750
Somerst,VinylSd,2005,62.0,1266,453,3,2,7,Ex,176000
NAmes,Wd Sdng,1956,70.0,928,252,2,1,5,TA,132000
NridgHt,VinylSd,2008,67.0,2713,858,3,2,9,Ex,446261
Edwards,Wd Sdng,1920,58.0,605,0,2,1,4,Ex,86000
Crawfor,Wd Sdng,1957,,2515,484,4,3,6,TA,200624
Timber,HdBoard,1988,85.0,1509,600,3,2,6,Ex,175000
BrkSide,Wd Sdng,1920,60.0,1362,502,3,2,6,Ex,128000
NAmes,VinylSd,1955,60.0,827,392,2,1,5,Ex,107500
BrkSide,VinylSd,1946,50.0,334,0,1,1,1,Fa,39300
Gilbert,VinylSd,2004,74.0,1414,403,3,2,8,Ex,178000
Edwards,MetalSd,1910,70.0,1347,0,3,1,5,TA,107500
CollgCr,VinylSd,1998,57.0,1724,527,3,2,7,Ex,188000
NAmes,MetalSd,1972,,864,576,3,1,4,TA,111250
Sawyer,Plywood,1968,,1159,336,3,1,5,TA,158000
CollgCr,VinylSd,2001,,1601,670,3,2,8,Ex,272000
Timber,VinylSd,2006,85.0,1838,765,2,2,9,Ex,315000
NoRidge,VinylSd,2000,,2285,648,4,2,8,Ex,248000
NWAmes,VinylSd,1998,78.0,1680,583,3,2,7,Ex,213250
NAmes,MetalSd,1998,34.0,767,367,1,1,7,Ex,133000
Gilbert,VinylSd,2006,58.0,1496,426,3,2,7,Ex,179665
NWAmes,HdBoard,1988,,2183,786,4,2,7,Gd,229000
BrkSide,BrkFace,1923,70.0,1635,440,3,1,6,Ex,210000
Mitchel,VinylSd,1970,54.0,768,624,2,1,5,Ex,129500
OldTown,MetalSd,1955,49.0,825,720,2,1,5,TA,125000
Somerst,VinylSd,2003,75.0,2094,615,4,2,7,Ex,263000
NPkVill,Plywood,1977,53.0,1069,440,2,2,6,TA,140000
OldTown,BrkFace,1957,50.0,928,288,3,1,5,Gd,112500
NridgHt,VinylSd,2006,87.0,1717,908,3,2,8,Ex,255500
Edwards,VinylSd,1949,67.0,1126,520,2,2,4,Ex,108000
NridgHt,VinylSd,2003,85.0,2046,871,3,2,7,Ex,284000
BrkSide,MetalSd,1922,58.0,1048,280,2,1,5,TA,113000
NAmes,Wd Sdng,1957,69.0,1092,299,2,1,5,TA,141000
IDOTRR,MetalSd,1920,60.0,1336,570,3,1,4,Gd,108000
Gilbert,HdBoard,1996,57.0,1446,406,3,2,7,Ex,175000
Blmngtn,VinylSd,2003,,1557,420,2,2,7,Ex,234000
Sawyer,Wd Sdng,1957,,1392,528,3,1,5,TA,121500
Mitchel,HdBoard,1974,77.0,1389,418,2,1,5,Gd,170000
Edwards,WdShing,1940,63.0,996,0,3,1,5,Ex,108000
Edwards,Wd Sdng,1918,66.0,1674,396,4,2,6,Ex,185000
NoRidge,HdBoard,1992,,2295,590,4,2,7,Ex,268000
SWISU,Wd Sdng,1915,66.0,1647,216,4,1,6,TA,128000
StoneBr,VinylSd,2005,77.0,2504,656,4,2,9,Ex,325000
NridgHt,VinylSd,2004,70.0,1535,532,3,2,7,Ex,214000
SawyerW,Wd Sdng,1983,79.0,2132,612,1,1,8,Ex,316600
NAmes,MetalSd,1979,,943,600,2,1,5,TA,135960
NAmes,HdBoard,1965,74.0,1728,576,6,2,5,TA,142600
NAmes,WdShing,1959,60.0,864,288,2,1,6,Ex,120000
Timber,VinylSd,2009,83.0,1692,650,3,2,7,Gd,224500
Gilbert,VinylSd,2000,76.0,1430,400,3,2,7,Ex,170000
NAmes,MetalSd,1971,70.0,1109,288,3,1,5,TA,139000
NAmes,MetalSd,1947,80.0,1216,336,2,1,5,TA,118500
SWISU,Wd Sdng,1928,52.0,1477,216,3,2,7,Gd,145000
Sawyer,VinylSd,1966,96.0,1320,564,3,1,5,Ex,164500
Somerst,VinylSd,2007,34.0,1392,540,2,2,7,Ex,146000
OldTown,MetalSd,1954,81.0,1795,352,4,2,5,Ex,131500
NAmes,Wd Sdng,1960,,1429,572,3,1,6,Ex,181900
NridgHt,VinylSd,2008,98.0,2042,1390,3,2,8,Ex,253293
Edwards,HdBoard,1990,81.0,816,0,3,1,6,TA,118500
OldTown,Wd Sdng,1893,75.0,2775,880,3,3,10,Gd,325000
BrkSide,AsbShng,1935,51.0,1573,240,3,1,4,Ex,133000
Timber,VinylSd,2005,88.0,2028,880,2,2,8,Ex,369900
BrkSide,Stucco,1918,55.0,838,275,2,1,6,Ex,130000
Sawyer,HdBoard,1982,74.0,860,528,2,1,5,TA,137000
ClearCr,Wd Sdng,1968,65.0,1473,452,1,1,5,Ex,143000
BrkSide,VinylSd,1930,50.0,935,308,2,1,5,TA,79500
CollgCr,VinylSd,2004,64.0,1582,520,3,2,7,Ex,185900
NridgHt,CemntBd,2008,97.0,2296,842,3,2,10,Ex,451950
Mitchel,HdBoard,1982,60.0,816,816,2,1,5,Ex,138000
CollgCr,VinylSd,2003,,848,420,1,1,6,Ex,140000
CollgCr,HdBoard,1975,88.0,924,280,3,1,5,TA,110000
StoneBr,VinylSd,2005,69.0,1826,758,3,2,8,Ex,319000
OldTown,VinylSd,1910,60.0,1368,216,3,1,6,Ex,114504
Blmngtn,VinylSd,2006,53.0,1402,648,2,0,7,Ex,194201
Crawfor,Plywood,1977,80.0,1647,621,3,2,5,Ex,217500
Blueste,MetalSd,1980,24.0,1556,452,3,2,6,TA,151000
NridgHt,VinylSd,2005,74.0,1904,736,3,2,8,Ex,275000
IDOTRR,Wd Sdng,1937,50.0,1375,544,3,1,6,TA,141000
SawyerW,HdBoard,1992,80.0,1915,506,3,2,8,Ex,220000
Somerst,MetalSd,2004,30.0,1200,480,2,2,7,Ex,151000
CollgCr,VinylSd,2002,88.0,1494,530,3,2,7,Ex,221000
NAmes,HdBoard,1965,85.0,1986,486,3,2,7,TA,205000
CollgCr,VinylSd,1996,82.0,1040,576,3,1,5,Gd,152000
Edwards,MetalSd,1948,78.0,2008,230,3,3,5,Ex,225000
Crawfor,BrkFace,1934,78.0,3194,380,4,2,8,TA,359100
Sawyer,VinylSd,1961,61.0,1029,261,3,1,4,Gd,118500
CollgCr,VinylSd,2000,,2153,736,3,2,9,Ex,313000
NWAmes,HdBoard,1978,,1032,564,3,2,6,TA,148000
CollgCr,VinylSd,2001,,1872,531,3,2,8,Ex,261500
Mitchel,VinylSd,2007,70.0,1120,0,3,1,5,Ex,147000
MeadowV,CemntBd,1972,21.0,630,0,1,1,4,Ex,75500
NAmes,MetalSd,1963,80.0,1054,480,3,1,6,Ex,137500
Gilbert,VinylSd,2002,,1509,393,3,2,6,Ex,183200
NAmes,MetalSd,1954,59.0,832,528,2,1,6,Gd,105500
NridgHt,CemntBd,2007,90.0,1828,774,3,2,9,Ex,314813
Timber,VinylSd,2003,85.0,2262,749,4,2,8,Ex,305000
Edwards,Stucco,1914,45.0,864,0,2,1,3,TA,67000
NWAmes,HdBoard,1974,90.0,2614,624,4,2,6,TA,240000
Sawyer,Plywood,1977,71.0,980,484,3,1,5,TA,135000
Somerst,MetalSd,2000,,1512,440,2,2,6,Ex,168500
NWAmes,VinylSd,1972,80.0,1790,484,4,1,6,Gd,165150
NAmes,Wd Sdng,1962,87.0,1116,440,3,1,6,TA,160000
NAmes,Wd Sdng,1960,,1422,286,3,1,5,TA,139900
NAmes,AsbShng,1955,80.0,1520,364,3,1,6,Ex,153000
NAmes,Plywood,1969,70.0,2080,504,5,1,5,TA,135000
NAmes,Plywood,1964,82.0,1350,520,3,1,6,TA,168500
OldTown,VinylSd,1880,50.0,1750,240,3,1,5,TA,124000
NridgHt,VinylSd,2006,34.0,1554,627,2,2,8,Ex,209500
NWAmes,Plywood,1977,85.0,1411,544,3,2,7,TA,82500
NAmes,Wd Sdng,1954,80.0,1056,260,3,1,5,TA,139400
OldTown,Plywood,1980,64.0,1056,576,0,0,6,Gd,144000
SWISU,VinylSd,1914,60.0,3395,0,8,2,6,Ex,200000
BrkSide,AsbShng,1936,51.0,800,0,1,1,2,Fa,60000
OldTown,Wd Sdng,1954,50.0,1387,256,3,2,5,TA,93000
Edwards,MetalSd,1910,67.0,796,0,2,1,5,Gd,85000
Blmngtn,VinylSd,2006,53.0,1567,648,1,2,8,Ex,264561
NridgHt,MetalSd,2003,62.0,1518,588,1,1,8,Ex,274000
Somerst,VinylSd,2001,,1929,650,3,2,7,Ex,226000
NAmes,Plywood,1972,75.0,2704,538,4,2,8,Gd,345000
NWAmes,WdShing,1969,80.0,1620,462,4,2,5,Ex,152000
Somerst,CemntBd,2009,85.0,1766,478,2,2,9,Ex,370878
NAmes,Plywood,1971,,981,576,3,1,6,TA,143250
NAmes,MetalSd,1950,60.0,1048,420,3,1,5,Gd,98300
Edwards,Wd Sdng,1953,85.0,1094,495,3,1,6,Ex,155000
NAmes,MetalSd,1966,70.0,1839,442,4,1,6,TA,155000
MeadowV,CemntBd,1970,21.0,630,0,1,1,4,Gd,84500
Somerst,CemntBd,2007,65.0,1665,562,3,2,7,Ex,205950
Edwards,MetalSd,1940,60.0,1510,296,4,1,4,TA,108000
CollgCr,VinylSd,1996,70.0,1716,512,2,2,7,Ex,191000
IDOTRR,MetalSd,1906,60.0,1469,216,3,1,6,Ex,135000
NoRidge,MetalSd,1995,91.0,2113,839,2,2,8,Ex,350000
BrDale,HdBoard,1971,21.0,1092,264,3,1,6,TA,88000
NAmes,HdBoard,1959,72.0,1053,312,3,1,5,Ex,145500
Crawfor,Stucco,1931,60.0,1502,270,3,1,7,TA,149000
NAmes,VinylSd,1948,78.0,1458,330,3,1,6,TA,97500
Edwards,MetalSd,1964,75.0,1486,480,3,1,5,Ex,167000
NWAmes,Plywood,1976,,1935,550,3,2,7,TA,197900
NoRidge,VinylSd,1994,52.0,2448,711,4,2,8,Ex,402000
NAmes,Wd Sdng,1968,120.0,1392,576,2,1,6,Gd,110000
Edwards,Plywood,1972,90.0,1181,588,3,2,4,TA,137500
Somerst,VinylSd,2005,49.0,2097,1134,1,1,8,Ex,423000
Gilbert,VinylSd,2000,106.0,1936,504,3,2,8,Ex,230500
NAmes,Plywood,1965,,2380,596,3,2,6,TA,129000
SawyerW,HdBoard,1994,65.0,1679,575,3,2,6,Ex,193500
Sawyer,CemntBd,1956,,1437,576,3,1,5,Gd,168000
Crawfor,MetalSd,1922,80.0,1180,252,2,1,4,Ex,137500
CollgCr,VinylSd,2005,64.0,1476,540,3,2,6,Ex,173500
Edwards,Wd Sdng,1925,54.0,1369,300,3,2,6,TA,103600
Veenker,Plywood,1977,,1208,546,3,1,6,TA,165000
Crawfor,CemntBd,1957,110.0,1839,416,3,2,6,Ex,257500
NAmes,HdBoard,1965,80.0,1136,384,3,1,6,TA,140000
NPkVill,Plywood,1978,24.0,1441,440,3,2,6,TA,148500
OldTown,AsbShng,1900,60.0,1774,779,4,2,4,Fa,87000
OldTown,VinylSd,1924,52.0,792,240,2,1,5,Ex,109500
StoneBr,VinylSd,2008,80.0,2046,834,3,2,8,Ex,372500
Sawyer,Wd Sdng,1961,,988,572,3,1,5,TA,128500
SawyerW,Plywood,1980,50.0,923,264,2,2,6,TA,143000
SWISU,VinylSd,1932,55.0,1520,281,3,1,5,Ex,159434
ClearCr,Wd Sdng,1996,,1291,431,2,1,6,Ex,173000
CollgCr,VinylSd,2002,90.0,1668,702,3,2,9,Ex,285000
NoRidge,VinylSd,1998,58.0,1839,486,4,2,7,Gd,221000
StoneBr,HdBoard,1984,,2090,577,3,2,7,Gd,207500
Somerst,VinylSd,2007,84.0,1761,578,3,3,7,Ex,227875
Somerst,MetalSd,2004,,1102,480,2,2,7,Ex,148800
StoneBr,MetalSd,2007,60.0,1419,567,2,2,8,Ex,392000
NridgHt,VinylSd,2005,61.0,1362,460,2,2,6,Ex,194700
CollgCr,VinylSd,2004,,848,420,1,1,6,Ex,141000
NoRidge,HdBoard,1994,104.0,4316,832,4,3,10,Ex,755000
Timber,MetalSd,1989,42.0,2519,628,4,2,7,Ex,335000
OldTown,MetalSd,1921,60.0,1073,326,2,1,5,Ex,108480
BrkSide,Wd Sdng,1936,51.0,1539,576,3,1,5,TA,141500
Timber,HdBoard,1987,54.0,1137,551,2,2,6,Gd,176000
BrkSide,Wd Sdng,1921,50.0,616,205,2,1,5,Gd,89000
Edwards,Wd Sdng,1952,57.0,1148,308,2,1,5,Fa,123500
Sawyer,MetalSd,1965,65.0,894,336,3,1,5,Ex,138500
Somerst,MetalSd,2004,59.0,1391,530,2,2,7,Ex,196000
Timber,VinylSd,2002,85.0,1800,765,3,2,8,Ex,312500
NWAmes,HdBoard,1969,80.0,1164,528,3,1,7,TA,140000
StoneBr,VinylSd,2006,82.0,2576,666,4,2,8,Ex,361919
OldTown,Wd Sdng,1900,76.0,1812,672,4,2,5,Gd,140000
CollgCr,VinylSd,2004,70.0,1484,606,3,2,7,Ex,213000
IDOTRR,VinylSd,1930,70.0,1092,0,3,2,4,Fa,55000
ClearCr,Plywood,1971,,1824,739,2,2,7,TA,302000
NridgHt,MetalSd,2006,48.0,1324,550,2,2,8,Ex,254000
Gilbert,VinylSd,2007,65.0,1456,400,3,2,7,Ex,179540
Sawyer,HdBoard,1966,,904,408,3,1,5,TA,109900
BrkSide,VinylSd,1935,56.0,729,0,2,1,3,Gd,52000
IDOTRR,MetalSd,1900,66.0,1178,384,2,1,4,Gd,102776
StoneBr,HdBoard,1988,40.0,1228,472,2,2,8,Gd,189000
BrkSide,HdBoard,1970,60.0,960,576,3,1,4,TA,129000
Sawyer,HdBoard,1976,,1479,475,3,2,6,Ex,130500
NWAmes,HdBoard,1974,78.0,1350,478,3,2,6,TA,165000
OldTown,Wd Sdng,1890,60.0,2554,704,3,1,7,Ex,159500
NWAmes,HdBoard,1973,80.0,1178,439,3,1,5,Gd,157000
NoRidge,Wd Sdng,1993,96.0,2418,983,3,2,7,Ex,341000
CollgCr,HdBoard,1969,69.0,971,300,3,1,5,TA,128500
StoneBr,HdBoard,1985,,1742,564,2,2,8,TA,275000
CollgCr,VinylSd,2004,,848,420,1,1,6,Ex,143000
NAmes,MetalSd,1970,70.0,864,463,3,1,4,Ex,124500
Edwards,MetalSd,1954,60.0,1470,548,4,2,4,Ex,135000
Edwards,CemntBd,2007,86.0,1698,768,3,2,9,Ex,320000
NAmes,HdBoard,1970,60.0,864,660,3,1,4,TA,120500
Crawfor,Wd Sdng,1988,,1680,540,3,2,6,Ex,222000
CollgCr,VinylSd,2007,64.0,1232,632,2,2,7,Ex,194500
NAmes,VinylSd,1958,85.0,1776,888,4,2,5,TA,110000
IDOTRR,MetalSd,1925,52.0,1208,539,2,1,4,TA,103000
StoneBr,CemntBd,1995,39.0,1616,608,2,2,8,Ex,236500
Timber,VinylSd,2003,73.0,1146,438,3,2,7,Ex,187500
CollgCr,VinylSd,1998,75.0,2031,541,3,2,7,Ex,222500
Sawyer,HdBoard,1961,80.0,1144,264,3,1,5,Ex,131400
Sawyer,Plywood,1968,,948,300,3,1,5,TA,108000
OldTown,Wd Sdng,1914,60.0,1768,320,2,1,7,Fa,163000
NAmes,Stucco,1950,60.0,1040,400,2,2,3,Gd,93500
Gilbert,VinylSd,2005,72.0,1801,800,3,2,8,Ex,239900
Edwards,Plywood,1987,60.0,1200,0,3,3,5,TA,179000
CollgCr,VinylSd,2004,65.0,1728,572,3,2,7,Ex,190000
OldTown,Wd Sdng,1910,60.0,1432,360,2,2,5,Ex,132000
Sawyer,HdBoard,1961,65.0,912,288,3,1,6,Gd,142000
SawyerW,VinylSd,2000,65.0,1349,539,3,2,7,Ex,179000
Sawyer,HdBoard,1963,70.0,1464,480,3,2,5,Ex,175000
StoneBr,HdBoard,1993,41.0,1337,462,2,2,8,Gd,180000
NWAmes,VinylSd,1976,,2715,831,4,3,8,Ex,299800
Gilbert,VinylSd,2000,,2256,554,4,2,7,Ex,236000
OldTown,Stucco,1880,65.0,2640,864,4,1,7,TA,265979
NoRidge,VinylSd,1996,59.0,1720,527,3,2,7,Ex,260400
Edwards,WdShing,1945,50.0,1529,240,4,2,4,TA,98000
OldTown,Wd Sdng,1910,55.0,1140,0,3,1,4,Gd,96500
Gilbert,VinylSd,2003,,1320,400,3,2,7,Ex,162000
CollgCr,VinylSd,1997,79.0,1494,576,3,2,6,Ex,217000
NridgHt,VinylSd,2005,80.0,2098,878,3,2,8,Gd,275500
NAmes,Plywood,1969,61.0,1026,440,3,1,6,Gd,156000
Somerst,MetalSd,1999,34.0,1471,440,3,2,6,Gd,172500
CollgCr,VinylSd,2007,68.0,1768,578,3,2,8,Ex,212000
Sawyer,HdBoard,1978,,1386,440,3,2,6,TA,158900
Somerst,MetalSd,1999,24.0,1501,440,3,2,7,Gd,179400
NoRidge,VinylSd,1995,65.0,2531,752,4,2,8,Ex,290000
NAmes,Wd Sdng,1959,70.0,864,300,2,1,6,Ex,127500
BrkSide,Wd Sdng,1924,60.0,1301,440,2,1,5,TA,100000
Somerst,VinylSd,2009,72.0,1547,614,3,2,7,Ex,215200
NoRidge,VinylSd,1999,82.0,2365,856,3,2,8,Ex,337000
Veenker,BrkFace,1995,30.0,1494,481,2,1,8,Ex,270000
Somerst,VinylSd,2008,75.0,1506,592,2,2,9,Ex,264132
NWAmes,HdBoard,1988,80.0,1714,496,3,2,7,TA,196500
Mitchel,VinylSd,1940,75.0,1750,423,4,2,6,Ex,160000
CollgCr,VinylSd,2004,70.0,1836,484,3,2,7,Ex,216837
StoneBr,CemntBd,2003,47.0,3279,841,4,3,8,Ex,538000
Sawyer,Wd Sdng,1982,,858,576,2,1,5,TA,134900
Edwards,Wd Sdng,1951,67.0,1220,396,2,1,4,TA,102000
Edwards,Plywood,1976,94.0,1117,672,3,1,6,TA,107000
NAmes,Wd Sdng,1958,70.0,912,275,2,1,5,Ex,114500
