HM Claim Recognition Date (yyyy/mm/dd),HM Fiscal Month (yyyy/mm),Model Year,Manufacturing plant code,Manufacturing plant code name,Series Code,Series Name,VIN,Transmission Class(Description),Transmission Type Code,Transmission Serial No.,Failed Part No. (1-5),Reference Parts Name,Replacement Part No. (1-13),Replacement Part Name,Quantity of Replaced Parts,Quantity of Replaced Parts Total,Repair Dealer No.,Local Claim No.,HM Claim No.,Customer Voice,Defect Code,Defect Name,Repair Order Date (yyyy/mm/dd),Production Date (yyyy/mm/dd),Mileage (Mile),Applying Country Code,Applying Country Name,Approved Freight Total Amount (USD),Approved Labor Cost Total Amount (USD),Approved Material Total Amount (USD),Approved Part Total Amount (USD),Approved PLCA Total Amount (USD),Approved Sublet Total Amount (USD),Approved Tax Total Amount (USD),Approved Total Amount (USD),Total FRT,Debit/Credit,Debit/Credit Name,Debit/Credit Reason Description
2016-05-09,201605,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6870FU515677,9AT,Q5LH,70676,6230,"KIT,SHAFT SEALING",062305J4000,"KIT,SHAFT SEALING",1,2,BAN280 0,0014271724,202220160509000320,ON REPLACEMENT OF THE A/F SENSOR WE FOUND THAT THE N/S DRIVESHAFT OIL SEAL LEAKING. REQUIRES A NEW SEAL,01102,Deteriorated,2016-05-03,2015-10-07,4425,GBR,United Kingdom,0,90.8,0.0,48.66,10.67,0.0,0,150.13,1.0,1,Regular,
2016-05-10,201605,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU504719,9AT,Q5LH,29815,6201,"KIT,AT-TRNS",062015LHE12,"KIT,AT-TRNS",1,1,109043,0014118230,201220160429000063,"SAEMTLICHE WARNLEUCHTEN VOM VSA, LKAS, TEMPOMAT. BERGABFAHRASSY. ... GEHEN AN",-----,,2016-02-23,2015-05-12,2888,DEU,Germany,0,508.82,239.09,3827.42,1897.25,0.0,0,6472.61,8.2,1,Regular,
2016-05-10,201605,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU517284,9AT,Q5LH,66336,6201,"KIT,AT-TRNS",062015LHE02,"KIT,AT-TRNS",1,6,TR22023,0014083657,20T220160502000080,VITESTEN BOSA ALINCA SILKELEME YAPIYOR VE MOTOR ARIZA LAMBASI YANIYOR.  BOSTAN D YE ALINCA DA AYNI SORUN DEVAM EDIYOR. MOTOR ARIZA LAMBASI YANIYOR SILKELEME YAPIYOR,00401,Distorted,2016-03-09,2015-10-22,778,TUR,Turkey,0,213.08,0.0,3865.62,2627.08,0.0,0,6705.79,6.1,1,Regular,
2016-05-12,201605,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU526190,9AT,Q5LH,108280,6201,"KIT,AT-TRNS",062015LHE02,"KIT,AT-TRNS",1,1,WES431 0,0014196375,202220160512001307,"GRINDING NOISE HEARD ON TEST DRIVE, VEHICLE LURCHES OUT OF GEAR. CONFIRM FAULT. FOUND SEVERE OIL LEAK FROM END COVER PLATE OF AUTOBOX. REQUIRES NEW GEARBOX REF TESS TRACK ID NUMBER 274199",-----,,2016-04-13,2016-02-08,1689,GBR,United Kingdom,0,510.99,0.0,3391.12,744.01,0.0,0,4646.13,6.1,1,Regular,
2016-05-24,201605,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU509056,9AT,Q5LH,59838,6233,"KIT,COVER II",062335J4000,"KIT,COVER II",1,1,00588,0014293027,247220160524000038,OLJEL?CKAGE FR?N KAPPA P? V? SIDA P? V?XELL?DAN L?CKER OLJA UNDER BILEN,-----,,2016-05-10,2015-07-20,5551,SWE,Sweden,0,115.05,229.0,33.59,13.74,0.0,0,391.39,1.1,1,Regular,
2016-05-27,201605,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6870FU526588,9AT,Q5LH,109853,6201,"KIT,AT-TRNS",062015LHE02,"KIT,AT-TRNS",1,1,TR06023,0014127759,20T220160525000423,@ANZUMAN $KAZ LAMBASI YANIYOR.,00401,Distorted,2016-03-25,2016-02-10,560,TUR,Turkey,0,209.34,0.0,3760.23,2555.46,0.0,0,6525.05,6.1,1,Regular,
2016-05-27,201605,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU513712,9AT,Q5LH,69042,6233,"KIT,COVER II",062335J4000,"KIT,COVER II",1,5,TR67013,0014073984,20T220160527000083,"ARACIN OKS$JEN SENS#R"" DE]$@$M$ ESNASINDA @ANZIMANIN ALT KISMINDAN YA] GELD$]$ TESP$T ED$LM$@T$R.",-----,,2016-02-12,2015-09-17,2126,TUR,Turkey,0,20.58,0.0,143.21,97.32,0.0,0,261.13,0.6,1,Regular,
2016-05-30,201605,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6870FU509520,9AT,Q5LH,62214,6280,"UNIT ASSY,TRNS CO",062805LHE01,"UNIT ASSY,TRNS CO",1,1,NWH100 0,0014182589,202220160530000144,ENGINE LIGHT ON - VEHICLE IN LIMP,-----,,2016-04-08,2015-07-23,2975,GBR,United Kingdom,0,151.51,0.0,260.81,57.21,0.0,0,469.54,1.7,1,Regular,
2016-05-31,201606,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU523789,9AT,Q5LH,98897,6201,"KIT,AT-TRNS",062015LHE12,"KIT,AT-TRNS",1,1,00256,0014336699,245220160530000041,AUTOMAT ERS. GANG KRATZ BEIM 4-5 UND R-1 GANG,-----,,2016-05-17,2016-01-15,1678,CHE,Switzerland,0,1031.73,229.04,3922.92,2034.81,0.0,0,7218.51,6.1,1,Regular,
2016-06-09,201606,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU521746,9AT,Q5LH,91990,6222,"KIT,HYDRAULIC CON",062225LH000,"KIT,HYDRAULIC CON",1,2,50004,0014290267,21K220160608000028,GEAR BOX CAN NOT TURN ON 'D' AND 'R' POSITION,-----,,2016-05-06,2015-12-11,3348,LVA,Latvia,0,304.72,241.34,1278.98,573.62,0.0,0,2398.67,7.2,1,Regular,
2016-06-10,201606,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6850FU524682,9AT,Q5LH,99053,6223,"KIT,SENSOR UNIT",062235LH000,"KIT,SENSOR UNIT",1,20,FIS476 0,0014280328,202220160610000849,EML ON THEN CAR STUCK IN PARK,-----,,2016-05-03,2016-01-25,403,GBR,United Kingdom,0,629.46,513.14,456.07,100.05,0.0,0,1698.72,6.5,1,Regular,
2016-06-10,201606,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6850FU524682,9AT,Q5LH,99053,6223,"KIT,SENSOR UNIT",062245LH000,"KIT,OIL COOLER",1,20,FIS476 0,0014280328,202220160610000849,EML ON THEN CAR STUCK IN PARK,-----,,2016-05-03,2016-01-25,403,GBR,United Kingdom,0,629.46,513.14,456.07,100.05,0.0,0,1698.72,6.5,1,Regular,
2016-06-27,201606,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU528417,9AT,Q5LH,114319,6233,"KIT,COVER II",062335J4000,"KIT,COVER II",1,3,TR34033,0014421794,20T220160627000130,ARACIIN ALTINDA YA] KA[A]I VAR ARACIIN ALTINDA YA] KA[A]I VAR,01102,Deteriorated,2016-06-18,2016-03-08,1068,TUR,Turkey,0,20.27,0.0,85.92,58.39,0.0,0,164.57,0.6,1,Regular,
2016-06-28,201606,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU529849,9AT,Q5LH,122112,6201,"KIT,AT-TRNS",062015LHE12,"KIT,AT-TRNS",1,22,80,0014365255,21H220160622000311,KLIENT ZG?ASZA  SZARPNI?CIA I WYCIEK OLEJU W TRAKCIE JAZDY /W TRAKCIE KONTROLI STWIERDZONO WYCIKEK Z BOCZNEJ CZ??CI BLOKU SKRZYNI BIEG?W SZARPANIE  I WYCIEK,-----,,2016-05-31,2016-03-17,3664,POL,Poland,0,219.44,383.67,3926.53,1320.9,0.0,0,5850.54,6.1,1,Regular,
2016-06-30,201607,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU521718,9AT,Q5LH,91940,6222,"KIT,HYDRAULIC CON",062225LH000,"KIT,HYDRAULIC CON",1,6,10271,0014440083,26N220160630000064,LAMPE FOR FEILKODER LYSER SOM OVER,-----,,2016-05-27,2015-12-11,7575,NOR,Norway,0,685.27,0.0,1593.84,615.06,0.0,0,2894.18,5.5,1,Regular,
2016-07-09,201607,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU506990,9AT,Q5LH,46375,6224,"KIT,OIL COOLER",062245LH000,"KIT,OIL COOLER",1,1,10157,0014447062,26N220160709000044,FEILS?KT BILEN OG FUNNET OLJELEKKASJE P? GIRKASSEN I FRONT VED OLJEKJ?LEREN KLAGER P? OLJELEKKASJE FRA GIRKASSE VED SERVICE,02101,Torn or split,2016-06-27,2015-06-23,9503,NOR,Norway,0,110.94,0.0,107.24,41.37,0.0,0,259.57,1.1,1,Regular,
2016-07-11,201607,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU525037,9AT,Q5LH,104056,6233,"KIT,COVER II",062335J4000,"KIT,COVER II",1,4,00319,0014474990,247220160711000002,L?CKAGE FR?N LITEN K?PA P? GAVELN P? V-L?DAN . HAR PROVAT ATT DRA BULTAR TILL DEN,-----,,2016-07-05,2016-01-27,313,SWE,Sweden,0,60.55,0.0,118.32,48.4,0.0,0,227.28,0.6,1,Regular,
2016-07-14,201607,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU510573,9AT,Q5LH,62764,6233,"KIT,COVER II",062335J4000,"KIT,COVER II",1,1,047,0014342900,21N220160714000035,TECE PREVODOVY OLEJ,-----,,2016-05-24,2015-08-18,15458,CZE,Czech Republic,0,82.76,72.12,30.12,10.57,0.0,0,195.58,3.2,1,Regular,
2016-07-19,201607,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6870FU509520,9AT,Q5LH,62214,6280,"UNIT ASSY,TRNS CO",062805LHE01,"UNIT ASSY,TRNS CO",1,1,NWH100 0,0014354758,202B20160719000003,REPLACED TCM UNDER PREVIOUS CLAIM 14182589.  VEHICLE REFUSES TO START WITH NEW TCM FITTED.  TESS REPORT 274780.  TESS HAVE ADVISED TO SUBMIT PARTS WARRANTY CLAIM TO REPLACE TCM AGAIN.,-----,,2016-05-27,2015-07-23,2975,GBR,United Kingdom,0,137.4,0.0,236.81,51.95,0.0,0,426.17,0.0,1,Regular,
2016-07-21,201607,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU530120,9AT,Q5LH,123214,6233,"KIT,COVER II",062335J4000,"KIT,COVER II",1,6,TR35023,0014507818,20T220160721000147,MEKANIK KONTROLLERI YAPILACAK ARA[TA YA] KA[A]I VAR,00401,Distorted,2016-06-20,2016-03-21,2433,TUR,Turkey,0,20.25,0.0,156.09,106.08,0.0,0,282.43,0.6,1,Regular,
2016-07-21,201607,2016,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890GU002092,9AT,Q5LH,145480,6280,"UNIT ASSY,TRNS CO",062805LHE01,"UNIT ASSY,TRNS CO",1,1,MAR474 0,0014460249,202220160721001366,EMMISIONS LIGHT ON DASH BOARD NO RUNNING ISSUE,-----,,2016-06-29,2016-06-07,140,GBR,United Kingdom,0,141.68,0.0,257.67,56.53,0.0,0,455.89,1.7,1,Regular,
2016-07-22,201607,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU519983,9AT,Q5LH,91064,6222,"KIT,HYDRAULIC CON",062225LH000,"KIT,HYDRAULIC CON",1,4,212870,0014530932,207220160722000103,"DES QUE LE VEHICULE ROULE, VOYANT MOTEUR ET BOITE PASSE AU NEUTRE. CODE P0976. DES QUE LE VEHICULE ROULE, VOYANT MOTEUR ET BOITE PASSE AU NEUTRE.",07701,Improperly machined,2016-06-22,2015-11-26,6050,FRA,France,0,491.26,0.0,1245.33,664.13,0.0,0,2400.74,5.5,1,Regular,
2016-07-22,201607,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU519983,9AT,Q5LH,91064,6222,"KIT,HYDRAULIC CON",062225LH000,"KIT,HYDRAULIC CON",1,12,212870,0014328895,207220160722000096,VOYANT BOITE AUTO ALLUME. VOYANT BOITE AUTO ALLUME.,-----,,2016-05-13,2015-11-26,6006,FRA,France,0,491.26,0.0,1309.39,698.29,0.0,0,2498.96,5.5,1,Regular,
2016-07-29,201608,2016,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890GU002090,9AT,Q5LH,145417,6201,"KIT,AT-TRNS",062015LHE02,"KIT,AT-TRNS",1,2,CLO551 0,0014528501,202220160729001301,INVESTIGATE GEAR BOX WHINE AND DIFFICULT TO ENGAGE GEAR,-----,,2016-07-20,2016-06-07,1215,GBR,United Kingdom,0,538.29,0.0,3396.32,745.16,0.0,0,4679.78,6.1,1,Regular,
2016-08-04,201608,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6880FU507705,9AT,Q5LH,55781,6233,"KIT,COVER II",062335J4000,"KIT,COVER II",1,4,945761,0014559858,207220160804000068,TEMOIN ALLUMER   PASSAGE DE VITESSE AUTOMATIQUE NE FONCTIONNE PAS   FUITE D HUILE DE BOITE AT,-----,,2016-07-26,2015-07-06,3589,FRA,France,0,153.3,0.0,118.12,62.99,0.0,0,334.43,1.6,1,Regular,
2016-08-08,201608,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU504648,9AT,Q5LH,27684,6235,"KIT,AWD SHAFT SEA",062355L9000,"KIT,AWD SHAFT SEA",1,1,TR46023,0014510330,20T220160808000197,SERV$S TARAFINDAN YAPILAN KONTROLLERDE ARACIN @ANZUMAN ORTA KISMINDA YA] KA[A]I OLDU]U TESP$T ED$LD$. @ANZUMANDA YA] KA[A]I VAR.,00504,Premature wear and tear,2016-07-14,2015-05-11,6754,TUR,Turkey,0,64.63,0.0,23.58,16.03,18.62,0,122.87,1.9,1,Regular,
2016-08-09,201608,2016,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890GU001458,9AT,Q5LH,143847,6233,"KIT,COVER II",062335J4000,"KIT,COVER II",1,1,TR33013,0014557021,20T220160809000035,"@ANZIMAN ARKA KAPAK VE CONTASININ DE]$@T$R$LEREK @ANZIMAN YA]ININ YEN$S$ $LE DE]$@T$R$LMES$ GEREKMEKTED$R ARA[ L$FTE KALDIRILDI]INDA ALTINDA YA] KA[AKLARI G#R""LD""",01102,Deteriorated,2016-07-28,2016-05-24,1286,TUR,Turkey,0,20.4,173.88,29.82,20.27,0.0,0,244.39,0.6,1,Regular,
2016-08-10,201608,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU528391,9AT,Q5LH,111601,6233,"KIT,COVER II",062335J4000,"KIT,COVER II",1,6,TR35023,0014569914,20T220160810000094,"MEKAN$K KONTROLLER$ YAPILACAK V$TES GE[$@LER$ D""ZENS$Z",00401,Distorted,2016-07-25,2016-03-08,1274,TUR,Turkey,0,20.5,0.0,145.28,98.74,0.0,0,264.52,0.6,1,Regular,
2016-08-16,201608,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU509682,9AT,Q5LH,62414,6222,"KIT,HYDRAULIC CON",062225LH000,"KIT,HYDRAULIC CON",1,7,GRA488 0,0014558506,202220160816001140,GEARBOX WARNING LIGHT ON THE DASH UNABLE TO ENGAGE PARK,-----,,2016-07-28,2015-07-24,8296,GBR,United Kingdom,0,444.49,0.0,1073.92,235.61,0.0,0,1754.03,5.5,1,Regular,
2016-08-16,201608,2016,U,HUM (Automobile Plant),2013,CR-V,SHSRE6850GU001494,9AT,Q5LH,144656,6280,"UNIT ASSY,TRNS CO",062805LHE01,"UNIT ASSY,TRNS CO",1,1,CRO587 0,0014578715,202220160816001138,CAR NOT SHIFTING FROM P POSITION.,-----,,2016-08-03,2016-05-24,5,GBR,United Kingdom,0,157.02,0.0,249.85,54.81,0.0,0,461.68,1.7,1,Regular,
2016-08-17,201608,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU524589,9AT,Q5LH,103962,6235,"KIT,AWD SHAFT SEA",062355L9000,"KIT,AWD SHAFT SEA",1,8,TR16013,0014558256,20T220160817000028,M.BEYANI;ARACIN ALTINDAN YA] KA[IRIYOR-KONTROL ARACIN ALTINDAN YA] KA[IRIYOR,01102,Deteriorated,2016-07-28,2016-01-23,3188,TUR,Turkey,0,65.1,0.0,172.48,117.22,0.0,0,354.81,1.9,1,Regular,
2016-08-22,201608,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6870FU520657,9AT,Q5LH,90459,6201,"KIT,AT-TRNS",062015LHE02,"KIT,AT-TRNS",1,9,26720,0014563849,239220160810000091,"FORTI COLPI IN CAMBIO MARCIA,SI EVIDENZIA FORTE PERDITA OLIO CAMBIO. FORTI COLPI DURANTE IL CAMBIO MARCIA",-----,,2016-07-28,2015-12-03,963,ITA,Italy,0,275.38,0.0,4033.11,2204.91,0.0,0,6513.41,6.1,1,Regular,
2016-08-22,201608,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU516641,9AT,Q5LH,80138,6201,"KIT,AT-TRNS",062015LHE12,"KIT,AT-TRNS",1,1,01275,0014544773,245220160806000048,ACCOUP EXECIF ET BRUIT AU PASSAGE DE LA 4EME,-----,,2016-07-05,2015-10-15,4258,CHE,Switzerland,0,988.94,508.54,3972.09,2060.33,0.0,0,7529.91,7.3,1,Regular,
2016-08-25,201608,2016,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890GU000712,9AT,Q5LH,139445,6233,"KIT,COVER II",062335J4000,"KIT,COVER II",1,1,TR34063,0014607188,20T220160825000271,"ARA[ [EK$C$YLE GELM$@  MOTOR UYARI LAMASI YANIYOR.  ARA[ GAZ YEM$YOR.  ARA[ YAVA@LADI]IN P KONUMUNA ALIYOR.  EKRANDA P LAMBASI YANIP S#N""YOR. ARA[ [EK$C$YLE GELM$@  MOTOR UYARI LAMASI YANIYOR.  ARA[ GAZ YEM$YOR.  ARA[ YAVA@LADI]IN P KONUMUNA ALIYOR.  EKRANDA P LAMBASI YANIP S#N""YOR.",00401,Distorted,2016-08-10,2016-05-11,1600,TUR,Turkey,0,193.65,57.68,30.33,20.61,20.21,0,322.49,5.6,1,Regular,
2016-08-29,201608,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU528751,9AT,Q5LH,118710,6201,"KIT,AT-TRNS",062015LHE12,"KIT,AT-TRNS",1,34,118916,0014530742,201220160823001746,"GETRIEBE SCHALTET NICHT HOCH UND RUNTER,  FZG F[HRT KAUM LOS",-----,,2016-07-20,2016-03-10,701,DEU,Germany,0,358.32,0.0,3996.95,1954.52,0.0,0,6309.8,6.1,1,Regular,
2016-08-31,201609,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6880FU530470,9AT,Q5LH,124273,6222,"KIT,HYDRAULIC CON",062225LH000,"KIT,HYDRAULIC CON",1,7,00406,0014500144,247220160831000005,LAMPA MED KUGGHJUL LYSER FELKOD P07E4  HAR TESTAT MED ANNAN V?XELSPAK MEN DET G?R FORFARANDE ?TERSKAPA FELKODEN P-L?GE G?R INTE F? I IBLAND  V?XELL?DA V?XLAR INTE S? MJUKT SOM TIDIGARE  KUGGHJULET LYSER I INSTRUMENTET,-----,,2016-07-01,2016-03-24,2979,SWE,Sweden,0,551.98,0.0,1394.37,570.3,0.0,0,2516.65,5.5,1,Regular,
2016-08-31,201609,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6880FU530812,9AT,Q5LH,127245,6233,"KIT,COVER II",062335J4000,"KIT,COVER II",1,5,114430,0014629866,201220160831000073,FZG.NICHT MEHR FAHRBEREIT.STARKER \LVERLUST IM VO.LI.FZG.  BEREICH.ZF 9AT GETRIEBE AM LI.[U~EREN GEH[USEDECKEL KOMPL.VER\LT.AUTOMATIKGETRIEBE-VERKLEIDUNGSKIT ERN. (GUMMILIPPE DER ABDICHTUNG EINGERISSEN),-----,,2016-08-22,2016-03-30,4237,DEU,Germany,0,103.61,0.0,144.16,70.5,0.0,0,318.26,1.5,1,Regular,
2016-08-31,201609,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU525776,9AT,Q5LH,106434,6233,"KIT,COVER II",062335J4000,"KIT,COVER II",1,4,TR61033,0014493527,20T220160831000072,"M""@TER$ BEYANINA G#RE @ANZUMAN YAN KISIMINDA YA] KA[AGI VAR YAPILAN $NCELEMERDE ARACIN @ANZUMAN YA] KAPAGINDA YA] KA[AGI OLDUGU TESP$T ED$LM$@T$R",03214,Erroneous operation,2016-07-11,2016-02-03,3526,TUR,Turkey,0,20.51,0.0,115.62,78.58,0.0,0,214.72,0.6,1,Regular,
2016-08-31,201609,2016,U,HUM (Automobile Plant),2013,CR-V,SHSRE6880GU002566,9AT,Q5LH,146172,6233,"KIT,COVER II",062335J4000,"KIT,COVER II",1,6,104511,0014634955,201220160831000072,GER[USCHE AUS MOTORRAUM BEIM LASTWECHSEL / SCHALTVORGANG  STARKER \LVERLUST !,-----,,2016-08-24,2016-06-09,1350,DEU,Germany,0,124.77,0.0,172.85,84.52,0.0,0,382.16,2.0,1,Regular,
2016-09-06,201609,2016,U,HUM (Automobile Plant),2013,CR-V,SHSRE6870GU005346,9AT,Q5LH,152733,6201,"KIT,AT-TRNS",062015LHE02,"KIT,AT-TRNS",1,1,64410,0014633618,239220160905000050,CAMBIO AUTOMATICO SI BLOCCA ED E RUMOROSO,-----,,2016-08-24,2016-06-29,473,ITA,Italy,0,271.85,123.8,3801.62,2078.35,0.0,0,6275.65,6.1,1,Regular,
2016-09-07,201609,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU508500,9AT,Q5LH,57828,6235,"KIT,AWD SHAFT SEA",062355L9000,"KIT,AWD SHAFT SEA",1,2,TR31013,0014408557,20T220160907000150,"YAPILAN KONTROLLERDE #N DEFRANS$YELDEN YA] SIZINTISI OLDU]U TESP$T ED$LD$. M""@TER$ BEYANINA G#RE @ANZUMAN ALT KISMINDA YA] TERLEMES$ KONTROL ED$LECEK.",07407,Insufficient sealing material,2016-06-14,2015-07-14,7913,TUR,Turkey,0,65.56,0.0,29.81,20.26,0.0,0,115.66,1.9,1,Regular,
2016-09-09,201609,2016,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890GU001081,9AT,Q5LH,138774,6233,"KIT,COVER II",062335J4000,"KIT,COVER II",1,6,TR35023,0014634046,20T220160909000022,MEKANIK KONTROLLERI YAPILACAK ARA[ VITESE GE[MIYOR,03217,Not operating,2016-08-16,2016-05-17,1873,TUR,Turkey,0,20.74,0.0,146.94,99.87,0.0,0,267.55,0.6,1,Regular,
2016-09-12,201609,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6880FU506942,9AT,Q5LH,27789,6223,"KIT,SENSOR UNIT",062235LH000,"KIT,SENSOR UNIT",1,4,118418,0014619123,201220160912000201,UNRUNDER MOTORLAUF. FEHLERLEUCHTE IST AN,-----,,2016-08-17,2015-06-23,7488,DEU,Germany,0,383.52,0.0,328.75,160.75,0.0,0,873.02,5.5,1,Regular,
2016-09-12,201609,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU528718,9AT,Q5LH,116674,6201,"KIT,AT-TRNS",062015LHE12,"KIT,AT-TRNS",1,20,109024,0014641685,201220160910000282,ZUM WIEDERHOLTEN MALE GEHEN UNVERMITTELT DIE WARNLAMPEN AN DIE FEHLERCODES P170A ODER P170B WERDEN AUSGEGEBEN,-----,,2016-08-25,2016-03-10,6507,DEU,Germany,0,455.16,0.0,3882.24,1898.43,0.0,0,6235.84,7.1,1,Regular,
2016-09-16,201609,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU504835,9AT,Q5LH,29061,6201,"KIT,AT-TRNS",062015LHE12,"KIT,AT-TRNS",1,3,124020,0014368519,201220160912000454,"SIEHE TESS - BERICHT ID 280927  AT-GETRIEBE WIRD ERNEUERT. ES IST WIEDERHOLT AUFGETRETEN, DAS W[HREND DER FAHRT DAS AT GETRIEBE DEN GANG VERLIERT. SOWOHL AUF AUTOBAHN ALS AUCH IN DER TIEFGARAGE. ALSO IN VERSCHIEDENEN G[NGEN.",-----,,2016-06-01,2015-05-14,10983,DEU,Germany,0,547.95,0.0,3847.63,1881.48,0.0,0,6277.07,6.5,1,Regular,
2016-09-16,201609,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU516300,9AT,Q5LH,79933,6222,"KIT,HYDRAULIC CON",062225LH000,"KIT,HYDRAULIC CON",1,3,30413,0014656438,25N220160916000020,LYSER FEJL P? GEARKASSE.,-----,,2016-09-01,2015-10-13,10813,DNK,Denmark,0,556.47,0.0,1277.01,433.68,0.0,0,2267.17,5.5,1,Regular,
2016-09-16,201609,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU519717,9AT,Q5LH,90426,6222,"KIT,HYDRAULIC CON",062225LH000,"KIT,HYDRAULIC CON",1,1,061,0014544609,26H220160907000004,MARTOR CUTIE VITEZE AUTOMATA APRINS LA BORD MARTOR CUTIE VITEZE AUTOMATA APRINS LA BORD,03214,Erroneous operation,2016-07-22,2015-11-23,6,ROM,Romania,0,126.73,55.59,1487.58,908.91,0.0,0,2578.82,5.5,1,Regular,
2016-09-19,201609,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6870FU513202,9AT,Q5LH,73278,6222,"KIT,HYDRAULIC CON",062225LH000,"KIT,HYDRAULIC CON",1,5,107493,0014656052,201220160919000492,DAS GETRIEBE BEIM SCHALTEN UND BEIM UMSCHALTEN EXTREME SCHL[GE ABGIBT. FINDET DAS GETRIEBE EINE ZEIT LANG DEN GANG NICHT WENN ER DANN GEFUNDEN IST DANN GIBT ES EINEN RICHTIG UNSANFTEN SCHLAG. KONTAKT ID 290077,-----,,2016-09-01,2015-09-14,12097,DEU,Germany,0,359.01,0.0,1191.74,582.76,0.0,0,2133.52,5.5,1,Regular,
2016-09-28,201609,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU515409,9AT,Q5LH,77968,6201,"KIT,AT-TRNS",062015LHE02,"KIT,AT-TRNS",1,1,29001  1,0014650777,293220160919000044,LAS VELOCIDADES SALTAN A NEUTRAL .DESPU?S DE HACER VARIAS PRUEBAS Y COMENTADO CON MIGUEL A . SORIANO . SE SUSTITUYE CAJA DE CAMBIOS. TEST ID :292016,-----,,2016-08-30,2015-10-05,17334,ESP,Spain,0,368.55,0.0,3823.96,2003.75,0.0,0,6196.26,6.1,1,Regular,
2016-09-28,201609,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU528398,9AT,Q5LH,116571,6233,"KIT,COVER II",062335J4000,"KIT,COVER II",1,1,TR33013,0014604912,20T220160928000035,"YAPILAN KONTROLDE AKTARMA ORGANI YAN KAPA]INDAN @ANZIMAN YA]I SIZINTISI G#R""LD"" YAPILAN KONTROLDE AKTARMA ORGANI YAN KAPA]INDAN @ANZIMAN YA]I SIZINTISI G#R""LD""",02101,Torn or split,2016-08-12,2016-03-08,776,TUR,Turkey,0,20.63,270.67,30.15,20.5,0.0,0,341.97,0.6,1,Regular,
2016-10-05,201610,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU515927,9AT,Q5LH,75541,6233,"KIT,COVER II",062335J4000,"KIT,COVER II",1,5,03278,0014713108,245220161005000002,FUITE D'HUILE PROVENNANT DE LA BOITE A VITESSES ET BRUIT LORS DU PASSAGE DES VITESSES A ENVIRON 50KM/H,-----,,2016-09-23,2015-10-08,8127,CHE,Switzerland,0,95.72,0.0,137.55,71.35,0.0,0,304.63,0.6,1,Regular,
